SERIALNUMBER,SERVICEAREA,SERVICETYPE,SYMPTOMCODE
201220609,ITA_006 : DISTRETTO 4,Dif da Logistica WH,Not assigned
371405000428,ITA_0MI : LAB_MI,Standard Repair,Oven door not aligned
151612005385,ITA_043 : DISTRETTO 2,Standard Repair,Door will not Open
608180358,ITA_006 : DISTRETTO 4,Dif da Logistica WH,Not assigned
151522008931,ITA_006 : DISTRETTO 4,Dif da Logistica WH,Not assigned
371003700581,ITA_088 : DISTRETTO 7,Standard Repair,Oven does not switch on
609100363,ITA_006 : DISTRETTO 4,Dif da Logist Trade,Not assigned
151449000222,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
151612001194,ITA_017 : DISTRETTO 3,Product Substitution,Door will not Open
701100384,ITA_017 : DISTRETTO 3,Dif da Logistica WH,Door will not Open
410070010,ITA_088 : DISTRETTO 7,Standard Repair,Oven door not aligned
410210170,ITA_030 : DISTRETTO 1,Standard Repair,Front panel damaged / dented - PREORD -
371112702841,ITA_030 : DISTRETTO 1,Standard Repair,Other problem
371209302021,ITA_043 : DISTRETTO 2,Standard Repair,Other problem
371108700169,ITA_043 : DISTRETTO 2,R+1 Std (Maytag),Front panel damaged / dented - PREORD -
371217305538,ITA_088 : DISTRETTO 7,Standard Repair,Other problem
221618000001,ITA_088 : DISTRETTO 7,Product Substitution,Control panel display fault - NA
371126700532,ITA_071 : DISTRETTO 6,Six Month Spares,Outer door dented/damaged - PREORD - NA
606040124,ITA_030 : DISTRETTO 1,Standard Repair,Too much steam/condensation inside oven
Not assigned,ITA_043 : DISTRETTO 2,Standard Repair,Plate doesn't turn
371044701058,ITA_071 : DISTRETTO 6,Standard Repair,Oven door not aligned
151446004657,ITA_0MI : LAB_MI,Standard Repair,Oven door not aligned
371126700103,ITA_017 : DISTRETTO 3,Standard Repair,Outer door dented/damaged - PREORD - NA
151607007805,ITA_006 : DISTRETTO 4,Standard Repair,Oven does not heat
505150602,ITA_030 : DISTRETTO 1,Product Substitution,Accessories / components / parts - broke
504300130,ITA_009 : DISTRETTO 9,Product Substitution,Oven door not aligned
604052780,ITA_030 : DISTRETTO 1,Product Substitution,It doesn't cook
609024162,ITA_088 : DISTRETTO 7,Product Substitution,Not assigned
602050059,ITA_088 : DISTRETTO 7,Product Substitution,Sparks during cooking
410200088,ITA_030 : DISTRETTO 1,Standard Repair,Accessories / components / parts - broke
151637010198,ITA_043 : DISTRETTO 2,Standard Repair,Component is dented / damaged
151548008205,ITA_030 : DISTRETTO 1,Standard Repair,Oven door not aligned
603040592,ITA_092 : DISTRETTO 5,Standard Repair,Door will not Open
421618000210,ITA_008 : DISTRETTO 8,Standard Repair,Door will not Close
999999999,ITA_006 : DISTRETTO 4,Standard Repair,Oven door not aligned
510130778,ITA_030 : DISTRETTO 1,Product Substitution,Oven does not switch on
151641008799,ITA_006 : DISTRETTO 4,Standard Repair,Door will not Open
604010430,ITA_043 : DISTRETTO 2,Product Substitution,Door will not Close
371132701066,ITA_006 : DISTRETTO 4,Product Substitution,Outer glass broken - PREORD - NA
371304302134,ITA_043 : DISTRETTO 2,Standard Repair,Accessories / components / parts - broke
371330000201,ITA_009 : DISTRETTO 9,Product Substitution,Door will not Open
606041147,ITA_030 : DISTRETTO 1,Product Substitution,Oven door not aligned
151618006289,ITA_092 : DISTRETTO 5,Product Substitution,Oven does not switch on
601050255,ITA_008 : DISTRETTO 8,Standard Repair,Oven does not heat
151602005226,ITA_006 : DISTRETTO 4,No accessories,Not assigned
151606009305,ITA_071 : DISTRETTO 6,Standard Repair,Oven does not heat
501290299,ITA_017 : DISTRETTO 3,Standard Repair,Turntable not rotating - NOT AVOID - NA
505150698,ITA_017 : DISTRETTO 3,Product Substitution,Oven door not aligned
504171044,ITA_017 : DISTRETTO 3,Standard Repair,Oven does not switch on
404280191,ITA_043 : DISTRETTO 2,Product Substitution,Not assigned
151529001049,ITA_043 : DISTRETTO 2,Standard Repair,Oven door not aligned
151702003970,ITA_092 : DISTRETTO 5,Standard Repair,F2E1 on display
505150542,ITA_043 : DISTRETTO 2,Standard Repair,Fan
607240013,ITA_092 : DISTRETTO 5,Product Substitution,Not assigned
151527001705,ITA_092 : DISTRETTO 5,Standard Repair,Oven does not heat
151610000033,ITA_071 : DISTRETTO 6,Standard Repair,Oven door not aligned
151621006750,ITA_043 : DISTRETTO 2,Standard Repair,Oven door not aligned
3290683,ITA_043 : DISTRETTO 2,Six Month Spares,NO-DISPLAY
371424006859,ITA_043 : DISTRETTO 2,Special Authorizatio,Door will not Open
609100823,ITA_030 : DISTRETTO 1,Product Substitution,Component is dented / damaged
371208303641,ITA_071 : DISTRETTO 6,R+1 Std (Maytag),Oven door not aligned
371307700516,ITA_043 : DISTRETTO 2,Product Substitution,Oven door not aligned
999999999,ITA_0MI : LAB_MI,Standard Repair,Oven does not heat
151621006974,ITA_043 : DISTRETTO 2,Product Substitution,F2E1 on display
371148301637,ITA_030 : DISTRETTO 1,Standard Repair,Outer glass broken - PREORD - NA
151625002095,ITA_043 : DISTRETTO 2,Non funz 1°utilizzo,Not assigned
151623001223,ITA_043 : DISTRETTO 2,Standard Repair,Accessories / components / parts - broke
404280190,ITA_043 : DISTRETTO 2,Product Substitution,Not assigned
412280510,ITA_030 : DISTRETTO 1,Product Substitution,Oven does not switch on
606040509,ITA_088 : DISTRETTO 7,Product Substitution,Door will not Open
Not assigned,ITA_043 : DISTRETTO 2,Standard Repair,Component is dented / damaged
151552003707,ITA_088 : DISTRETTO 7,Standard Repair,Oven door not aligned
606041672,ITA_017 : DISTRETTO 3,Installation,Door will not Open
151637010186,ITA_092 : DISTRETTO 5,Standard Repair,Oven door not aligned
999999999,ITA_017 : DISTRETTO 3,Installation,Door will not Open
371038700195,ITA_008 : DISTRETTO 8,Standard Repair,Outer glass broken - PREORD - NA
151635000035,ITA_088 : DISTRETTO 7,Standard Repair,Oven does not heat
607119038,ITA_092 : DISTRETTO 5,Product Substitution,Not assigned
371038306665,ITA_009 : DISTRETTO 9,Standard Repair,Oven does not heat
610199220,ITA_030 : DISTRETTO 1,Standard Repair,Oven door not aligned
151625003801,ITA_043 : DISTRETTO 2,Installation,Oven door not aligned
606040344,ITA_088 : DISTRETTO 7,Standard Repair,Oven does not switch on
371307700951,ITA_006 : DISTRETTO 4,Product Substitution,Oven door not aligned
371350003501,ITA_043 : DISTRETTO 2,Standard Repair,Oven door not aligned
151641003808,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
151528003722,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
421218002541,ITA_071 : DISTRETTO 6,Standard Repair,Oven does not heat
151549005420,ITA_043 : DISTRETTO 2,Product Substitution,F2E1 on display
371341000560,ITA_017 : DISTRETTO 3,Standard Repair,Outer glass broken - PREORD - NA
370725303470,ITA_030 : DISTRETTO 1,R+1 Std (Maytag),Control panel display fault - NA
371118701373,ITA_030 : DISTRETTO 1,Standard Repair,Oven door not aligned
371205302479,ITA_006 : DISTRETTO 4,Standard Repair,Oven door not aligned
151617000623,ITA_071 : DISTRETTO 6,Standard Repair,Oven door not aligned
101170278,ITA_092 : DISTRETTO 5,Standard Repair,Oven does not switch on
151634009032,ITA_088 : DISTRETTO 7,Product Substitution,Not assigned
107260129,ITA_071 : DISTRETTO 6,Standard Repair,Fan
Not assigned,ITA_071 : DISTRETTO 6,Standard Repair,Door will not Open
604050017,ITA_030 : DISTRETTO 1,Standard Repair,Accessories / components / parts - broke
151618000199,ITA_006 : DISTRETTO 4,Standard Repair,Product installation request - NA
151615009510,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
370913700492,ITA_071 : DISTRETTO 6,Standard Repair,Door will not Open
110123506,ITA_088 : DISTRETTO 7,Standard Repair,Emergency cut-out triggers
507080003,ITA_009 : DISTRETTO 9,Installation,Door will not Open
151628002988,ITA_043 : DISTRETTO 2,Standard Repair,Oven door not aligned
507290515,ITA_071 : DISTRETTO 6,Standard Repair,Automatic programs duration time
151507001687,ITA_006 : DISTRETTO 4,Standard Repair,Sparks during cooking
151615000539,ITA_008 : DISTRETTO 8,Standard Repair,Door will not Close
370646701409,ITA_043 : DISTRETTO 2,Standard Repair,Oven does not heat
209202208,ITA_017 : DISTRETTO 3,Standard Repair,Oven does not switch on
Not assigned,ITA_043 : DISTRETTO 2,Standard Repair,Accessories / components / parts - broke
1260326,ITA_006 : DISTRETTO 4,Standard Repair,Oven door not aligned
402240072,ITA_030 : DISTRETTO 1,Product Substitution,It doesn't cook
371047700173,ITA_088 : DISTRETTO 7,R+1 Std (Maytag),Outer glass broken - PREORD - NA
151708006445,ITA_017 : DISTRETTO 3,Installation,Oven door not aligned
370947701257,ITA_071 : DISTRETTO 6,R+1 Std (Maytag),Oven door not aligned
421532011664,ITA_030 : DISTRETTO 1,Standard Repair,Oven door not aligned
151627001273,ITA_017 : DISTRETTO 3,Standard Repair,Door will not Close
999999999,ITA_0MI : LAB_MI,Standard Repair,Oven door not aligned
421616008508,ITA_071 : DISTRETTO 6,Standard Repair,Oven door not aligned
151538004046,ITA_006 : DISTRETTO 4,Standard Repair,Door will not Open
151707001874,ITA_008 : DISTRETTO 8,Standard Repair,Turntable not rotating - NOT AVOID - NA
608032173,ITA_043 : DISTRETTO 2,Standard Repair,Door will not Close
611021154,ITA_088 : DISTRETTO 7,Installation,Door will not Close
504301480,ITA_088 : DISTRETTO 7,Product Substitution,Not assigned
603241537,ITA_030 : DISTRETTO 1,Product Substitution,Not assigned
603241611,ITA_030 : DISTRETTO 1,Product Substitution,Not assigned
412124326,ITA_008 : DISTRETTO 8,Standard Repair,Oven door not aligned
409047171,ITA_071 : DISTRETTO 6,Standard Repair,Oven door not aligned
610101062,ITA_088 : DISTRETTO 7,Standard Repair,Accessories / components / parts - broke
151540003008,ITA_092 : DISTRETTO 5,Product Substitution,Not assigned
151621004478,ITA_092 : DISTRETTO 5,Product Substitution,Not assigned
151612005579,ITA_006 : DISTRETTO 4,Standard Repair,Oven does not switch on
151535005648,ITA_017 : DISTRETTO 3,Installation,Oven does not heat
151635007594,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
601120095,ITA_071 : DISTRETTO 6,Product Substitution,Outer glass damaged - PREORD - NA
151634009025,ITA_017 : DISTRETTO 3,Product Substitution,Not assigned
371414003475,ITA_071 : DISTRETTO 6,Standard Repair,Outer glass broken - PREORD - NA
511050377,ITA_009 : DISTRETTO 9,Standard Repair,Noise: from rotating plate
151547008404,ITA_017 : DISTRETTO 3,Standard Repair,Oven does not switch on
151540000238,ITA_017 : DISTRETTO 3,Standard Repair,Use for JLP bulk booking's - NA
151610001908,ITA_043 : DISTRETTO 2,Product Substitution,F2E1 on display
151602001585,ITA_043 : DISTRETTO 2,Product Substitution,Oven door not aligned
151552004525,ITA_088 : DISTRETTO 7,Product Substitution,Not assigned
151535011543,ITA_006 : DISTRETTO 4,Installation,Oven door not aligned
601190110,ITA_009 : DISTRETTO 9,Standard Repair,Oven door not aligned
151712002160,ITA_006 : DISTRETTO 4,Installation,Outer glass broken - PREORD - NA
371307700516,ITA_043 : DISTRETTO 2,Installation,Oven door not aligned
151617005264,ITA_043 : DISTRETTO 2,Standard Repair,Oven door not aligned
371324300846,ITA_043 : DISTRETTO 2,Standard Repair,Oven does not heat
309121274,ITA_088 : DISTRETTO 7,Standard Repair,Door will not Open
151629004749,ITA_088 : DISTRETTO 7,Product Substitution,Not assigned
999999999,ITA_088 : DISTRETTO 7,Standard Repair,Oven door not aligned
151705001879,ITA_008 : DISTRETTO 8,Installation,Too much steam / condensation - oven
371412010853,ITA_017 : DISTRETTO 3,Product Substitution,Door will not Open
151446004657,ITA_0MI : LAB_MI,Product Substitution,Oven door not aligned
151610000182,ITA_017 : DISTRETTO 3,Standard Repair,F2E1 on display
601120189,ITA_043 : DISTRETTO 2,Standard Repair,Oven door not aligned
151712008243,ITA_043 : DISTRETTO 2,Installation,Oven door not aligned
151626002427,ITA_006 : DISTRETTO 4,Standard Repair,Door will not Open
371209304269,ITA_006 : DISTRETTO 4,Standard Repair,Outer glass broken - PREORD - NA
151703000406,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
371127700478,ITA_006 : DISTRETTO 4,R+1 Std (Maytag),Outer glass broken - PREORD - NA
Not assigned,ITA_088 : DISTRETTO 7,Standard Repair,Outer glass broken - PREORD - NA
151707007956,ITA_017 : DISTRETTO 3,Standard Repair,Noise: from rotating plate
371402003522,ITA_088 : DISTRETTO 7,Standard Repair,Oven does not heat
999999999,ITA_071 : DISTRETTO 6,Standard Repair,Oven door not aligned
412041039,ITA_088 : DISTRETTO 7,Standard Repair,Oven door not aligned
151509006651,ITA_006 : DISTRETTO 4,Standard Repair,F2E1 on display
608180392,ITA_006 : DISTRETTO 4,Standard Repair,Oven does not switch on
421630001744,ITA_088 : DISTRETTO 7,Standard Repair,It doesn't work
609100720,ITA_030 : DISTRETTO 1,Standard Repair,Oven door not aligned
151642001162,ITA_017 : DISTRETTO 3,Product Substitution,Outer glass damaged - PREORD - NA
809261567,ITA_092 : DISTRETTO 5,Standard Repair,Oven does not heat
371426011572,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
371221303339,ITA_008 : DISTRETTO 8,Standard Repair,Oven door not aligned
151651002105,ITA_017 : DISTRETTO 3,Standard Repair,Oven does not heat
999999999,ITA_088 : DISTRETTO 7,Standard Repair,Door will not Close
508030025,ITA_092 : DISTRETTO 5,Standard Repair,Component is dented / damaged
151552002205,ITA_008 : DISTRETTO 8,Standard Repair,Door will not Open
507290822,ITA_030 : DISTRETTO 1,Product Substitution,Oven does not switch on
151706000299,ITA_088 : DISTRETTO 7,Standard Repair,Burnt fuse
702121292,ITA_043 : DISTRETTO 2,Installation,Door will not Close
702238965,ITA_088 : DISTRETTO 7,Installation,Control panel display fault - NA
999999999,ITA_030 : DISTRETTO 1,Installation,Oven door not aligned
999999999,ITA_030 : DISTRETTO 1,Installation,It doesn't cook
151702005157,ITA_006 : DISTRETTO 4,Standard Repair,Oven does not heat
603020074,ITA_043 : DISTRETTO 2,Product Substitution,Oven does not heat
151641003819,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
151545000806,ITA_071 : DISTRETTO 6,Standard Repair,Oven does not switch on
151445003945,ITA_043 : DISTRETTO 2,Installation,Oven door not aligned
151520002731,ITA_092 : DISTRETTO 5,Standard Repair,Oven door not aligned
151602006221,ITA_088 : DISTRETTO 7,Standard Repair,Oven does not heat
151708000328,ITA_088 : DISTRETTO 7,Standard Repair,Door will not Open
151536007292,ITA_030 : DISTRETTO 1,Standard Repair,Oven light dims
999999999,ITA_030 : DISTRETTO 1,Installation,Accessories / components / parts - broke
999999999,ITA_009 : DISTRETTO 9,Standard Repair,Oven does not heat
151305004646,ITA_008 : DISTRETTO 8,Standard Repair,Oven door not aligned
151648008195,ITA_092 : DISTRETTO 5,Standard Repair,Oven door not aligned
999999999,ITA_030 : DISTRETTO 1,Installation,Oven does not switch on
701100172,ITA_043 : DISTRETTO 2,Installation,Oven does not heat
999999999,ITA_030 : DISTRETTO 1,Installation,Oven does not switch on
511050325,ITA_092 : DISTRETTO 5,Non funz 1°utilizzo,Not assigned
151609002327,ITA_006 : DISTRETTO 4,Product Substitution,Outer glass broken - PREORD - NA
370725303470,ITA_030 : DISTRETTO 1,Standard Repair,Oven does not heat
151707002549,ITA_008 : DISTRETTO 8,Standard Repair,Door will not Close
371150700443,ITA_006 : DISTRETTO 4,Built In Free Test,Use for JLP bulk booking's - NA
501060118,ITA_071 : DISTRETTO 6,Standard Repair,Turntable not rotating - NOT AVOID - NA
151614006718,ITA_030 : DISTRETTO 1,Standard Repair,Oven door not aligned
151647001885,ITA_006 : DISTRETTO 4,Standard Repair,Oven door not aligned
150715001308,ITA_043 : DISTRETTO 2,Installation,F2E1 on display
371435700724,ITA_030 : DISTRETTO 1,Standard Repair,F2E1 on display
412050217,ITA_043 : DISTRETTO 2,Standard Repair,Turntable not rotating - NOT AVOID - NA
702100047,ITA_071 : DISTRETTO 6,Prod rientrato Consu,Not assigned
421532011502,ITA_092 : DISTRETTO 5,Standard Repair,It doesn't cook
999999999,ITA_008 : DISTRETTO 8,Standard Repair,Oven door not aligned
371210700599,ITA_017 : DISTRETTO 3,Special Authorizatio,Oven door not aligned
151705001877,ITA_017 : DISTRETTO 3,Non funz 1°utilizzo,Not assigned
702121482,ITA_009 : DISTRETTO 9,Installation,Oven door not aligned
999999999,ITA_017 : DISTRETTO 3,Installation,Oven door not aligned
151712008238,ITA_017 : DISTRETTO 3,Installation,Outer glass damaged - PREORD - NA
999999999,ITA_006 : DISTRETTO 4,Standard Repair,Oven does not switch on
151706005988,ITA_088 : DISTRETTO 7,Standard Repair,Product installation request - NA
371121700579,ITA_092 : DISTRETTO 5,Standard Repair,Oven door not aligned
371338009116,ITA_071 : DISTRETTO 6,Product Substitution,Accessories / components / parts - broke
151708000271,ITA_006 : DISTRETTO 4,Standard Repair,Outer glass broken - PREORD - NA
151702000412,ITA_006 : DISTRETTO 4,Dif da Logistica WH,Not assigned
151703003975,ITA_006 : DISTRETTO 4,Dif da Logistica WH,Not assigned
151522008965,ITA_006 : DISTRETTO 4,Dif da Logistica WH,Not assigned
999999999,ITA_043 : DISTRETTO 2,Installation,Oven door not aligned
151701000513,ITA_017 : DISTRETTO 3,Dif da Logistica WH,Door will not Open
612126355,ITA_017 : DISTRETTO 3,Product Substitution,Door will not Open
606230270,ITA_017 : DISTRETTO 3,Product Substitution,Door will not Open
501140332,ITA_017 : DISTRETTO 3,Dif da Logistica WH,Door will not Open
501140334,ITA_017 : DISTRETTO 3,Dif da Logistica WH,Oven door not aligned
371424001622,ITA_006 : DISTRETTO 4,Standard Repair,Not assigned
601190376,ITA_030 : DISTRETTO 1,Product Substitution,Front panel damaged / dented - PREORD -
421503003511,ITA_088 : DISTRETTO 7,Standard Repair,Other problem
151634002179,ITA_017 : DISTRETTO 3,25% material concess,Other problem
371335004875,ITA_017 : DISTRETTO 3,Standard Repair,Turntable not rotating - NOT AVOID - NA
601120225,ITA_088 : DISTRETTO 7,Product Substitution,Door will not Open
371240303605,ITA_092 : DISTRETTO 5,Standard Repair,Cooking not evenly
371232701577,ITA_088 : DISTRETTO 7,R+1 Std (Maytag),Outer glass broken - PREORD - NA
221518000003,ITA_030 : DISTRETTO 1,Product Substitution,Outer glass broken - PREORD - NA
603020413,ITA_088 : DISTRETTO 7,Product Substitution,Steam from the door
370911701357,ITA_030 : DISTRETTO 1,Standard Repair,Oven does not switch on
371126700105,ITA_017 : DISTRETTO 3,Standard Repair,Outer glass broken - PREORD - NA
151618006283,ITA_092 : DISTRETTO 5,Product Substitution,Accessories / components / parts - broke
371206700494,ITA_017 : DISTRETTO 3,Standard Repair,Outer glass broken - PREORD - NA
999999999,ITA_043 : DISTRETTO 2,R+1 Std (Maytag),Outer glass broken - PREORD - NA
371434006692,ITA_043 : DISTRETTO 2,Standard Repair,Door will not Open
601190118,ITA_030 : DISTRETTO 1,Standard Repair,Oven does not heat
604050188,ITA_030 : DISTRETTO 1,Product Substitution,Oven door not aligned
999999999,ITA_030 : DISTRETTO 1,Standard Repair,Oven does not switch on
151530000020,ITA_030 : DISTRETTO 1,Standard Repair,Oven does not heat
151618006872,ITA_0MI : LAB_MI,Standard Repair,It doesn't work
151635007602,ITA_0MI : LAB_MI,Standard Repair,Outer glass broken - PREORD - NA
999999999,ITA_071 : DISTRETTO 6,Installation,Front panel damaged / dented - PREORD -
410166090,ITA_043 : DISTRETTO 2,Standard Repair,Oven door not aligned
371004700090,ITA_043 : DISTRETTO 2,Standard Repair,Outer glass broken - PREORD - NA
999999999,ITA_043 : DISTRETTO 2,Complex Repair,Door will not Close
508031248,ITA_030 : DISTRETTO 1,Product Substitution,Accessories / components / parts - broke
701100295,ITA_043 : DISTRETTO 2,Installation,Accessories / components / parts - broke
370547701091,ITA_017 : DISTRETTO 3,Standard Repair,Oven does not heat
151636004454,ITA_092 : DISTRETTO 5,Standard Repair,Appliance dented / damaged
601190482,ITA_092 : DISTRETTO 5,Product Substitution,Not assigned
610250204,ITA_043 : DISTRETTO 2,Product Substitution,Not assigned
604160014,ITA_017 : DISTRETTO 3,Product Substitution,Appliance dented / damaged
999999999,ITA_088 : DISTRETTO 7,Installation,Front panel damaged / dented - PREORD -
370611701572,ITA_006 : DISTRETTO 4,Product Substitution,NO-DISPLAY
308130025,ITA_071 : DISTRETTO 6,Product Substitution,Oven door not aligned
151602000453,ITA_017 : DISTRETTO 3,Complex Repair,Emergency cut-out triggers
371417000290,ITA_092 : DISTRETTO 5,Standard Repair,Accessories / components / parts - broke
151610008337,ITA_030 : DISTRETTO 1,Product Substitution,Oven door not aligned
421503003511,ITA_088 : DISTRETTO 7,Product Substitution,Outer glass broken - PREORD - NA
512030558,ITA_0MI : LAB_MI,Product Substitution,Too noisy
999999999,ITA_030 : DISTRETTO 1,Complex Repair,Oven door not aligned
151442007139,ITA_043 : DISTRETTO 2,Standard Repair,Oven does not heat
371106700247,ITA_043 : DISTRETTO 2,Standard Repair,Automatic programs duration time
151627006426,ITA_092 : DISTRETTO 5,Standard Repair,Control panel display fault - NA
507122019,ITA_043 : DISTRETTO 2,Standard Repair,Door will not Open
604050655,ITA_030 : DISTRETTO 1,Standard Repair,Oven door not aligned
371207701539,ITA_006 : DISTRETTO 4,Complex Repair,It doesn't cook
371207701459,ITA_043 : DISTRETTO 2,R+1 Std (Maytag),Outer glass broken - PREORD - NA
371142700990,ITA_043 : DISTRETTO 2,Standard Repair,Oven door not aligned
999999999,ITA_088 : DISTRETTO 7,Six Month Spares,Oven door not aligned
410200140,ITA_092 : DISTRETTO 5,Product Substitution,Oven door not aligned
371250304403,ITA_006 : DISTRETTO 4,Standard Repair,Door will not Open
407032191,ITA_071 : DISTRETTO 6,Standard Repair,Door will not Open
512030426,ITA_030 : DISTRETTO 1,Product Substitution,Oven door not aligned
371342001019,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
701100242,ITA_008 : DISTRETTO 8,Standard Repair,Door will not Open
604051192,ITA_088 : DISTRETTO 7,Product Substitution,Oven door not aligned
701097332,ITA_071 : DISTRETTO 6,Product Substitution,Not assigned
608180731,ITA_009 : DISTRETTO 9,Non funz 1°utilizzo,Not assigned
151608007667,ITA_009 : DISTRETTO 9,Standard Repair,Oven door not aligned
151603007119,ITA_009 : DISTRETTO 9,Standard Repair,Oven door not aligned
151648001728,ITA_030 : DISTRETTO 1,Standard Repair,Too noisy
151637010245,ITA_006 : DISTRETTO 4,Standard Repair,Oven door not aligned
510130052,ITA_030 : DISTRETTO 1,Standard Repair,Oven does not switch on
Not assigned,ITA_088 : DISTRETTO 7,Installation,Oven door not aligned
151635005918,ITA_030 : DISTRETTO 1,Product Substitution,Not assigned
371136700744,ITA_088 : DISTRETTO 7,Standard Repair,Oven does not heat
151607009057,ITA_043 : DISTRETTO 2,Standard Repair,WH-DOOR on display
503150732,ITA_043 : DISTRETTO 2,Standard Repair,Oven does not heat
409162135,ITA_071 : DISTRETTO 6,Standard Repair,Outer glass broken - PREORD - NA
604050595,ITA_092 : DISTRETTO 5,Product Substitution,Burnt fuse
999999999,ITA_030 : DISTRETTO 1,Standard Repair,Oven light dims
608180097,ITA_043 : DISTRETTO 2,Product Substitution,Oven does not switch on
151623001177,ITA_071 : DISTRETTO 6,Standard Repair,Oven door not aligned
151518003792,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
151618001706,ITA_043 : DISTRETTO 2,Standard Repair,Door will not Open
151448007961,ITA_043 : DISTRETTO 2,Standard Repair,Oven door not aligned
702120300,ITA_030 : DISTRETTO 1,Installation,Component is dented / damaged
371217305425,ITA_092 : DISTRETTO 5,Standard Repair,Oven does not switch on
151612002548,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
371210302469,ITA_043 : DISTRETTO 2,Standard Repair,It doesn't work
702121488,ITA_030 : DISTRETTO 1,Installation,Oven does not switch on
371423009930,ITA_017 : DISTRETTO 3,Standard Repair,Oven light dims
151638003907,ITA_006 : DISTRETTO 4,Standard Repair,Outer glass broken - PREORD - NA
151609001587,ITA_043 : DISTRETTO 2,Standard Repair,Door will not Open
608180461,ITA_006 : DISTRETTO 4,Product Substitution,Not assigned
151712001339,ITA_009 : DISTRETTO 9,Standard Repair,Accessories / components / parts - broke
151512004737,ITA_017 : DISTRETTO 3,Standard Repair,Door will not Close
371425007109,ITA_088 : DISTRETTO 7,Standard Repair,Oven door not aligned
112080227,ITA_071 : DISTRETTO 6,Standard Repair,It doesn't cook
371112702841,ITA_030 : DISTRETTO 1,Product Substitution,F2E1 on display
371209301018,ITA_006 : DISTRETTO 4,Product Substitution,Oven door not aligned
371217303732,ITA_071 : DISTRETTO 6,Standard Repair,Oven door not aligned
151627002995,ITA_006 : DISTRETTO 4,Standard Repair,Door will not Open
999999999,ITA_0MI : LAB_MI,Standard Repair,Oven door not aligned
701110087,ITA_071 : DISTRETTO 6,Standard Repair,Oven light dims
603040607,ITA_017 : DISTRETTO 3,Standard Repair,Door will not Close
999999999,ITA_088 : DISTRETTO 7,Standard Repair,Door will not Open
222222,ITA_043 : DISTRETTO 2,Installation,F2E1 on display
999999999,ITA_006 : DISTRETTO 4,Installation,Outer glass broken - PREORD - NA
151539009037,ITA_030 : DISTRETTO 1,Product Substitution,Not assigned
501050130,ITA_088 : DISTRETTO 7,Standard Repair,Oven does not heat
151617002199,ITA_043 : DISTRETTO 2,Standard Repair,Oven door not aligned
507080308,ITA_0MI : LAB_MI,Non funz 1°utilizzo,Not assigned
371412010853,ITA_017 : DISTRETTO 3,Installation,Door will not Open
999999999,ITA_071 : DISTRETTO 6,Installation,Outer glass damaged - PREORD - NA
609095164,ITA_088 : DISTRETTO 7,Product Substitution,Outer glass damaged - PREORD - NA
421436015421,ITA_088 : DISTRETTO 7,Standard Repair,Oven door not aligned
151636008251,ITA_092 : DISTRETTO 5,Standard Repair,Cooking not evenly
371211701904,ITA_043 : DISTRETTO 2,Standard Repair,Door will not Close
151506006770,ITA_008 : DISTRETTO 8,Standard Repair,Oven door not aligned
151637000077,ITA_092 : DISTRETTO 5,Standard Repair,Oven door not aligned
610200101,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
371421018988,ITA_017 : DISTRETTO 3,Standard Repair,Door will not Close
511050147,ITA_030 : DISTRETTO 1,Standard Repair,Automatic programs duration time
151506001685,ITA_008 : DISTRETTO 8,Standard Repair,Oven does not switch on
370817300394,ITA_092 : DISTRETTO 5,R+1 Std (Maytag),Accessories / components / parts - broke
605270395,ITA_043 : DISTRETTO 2,Standard Repair,Plate doesn't turn
999999999,ITA_088 : DISTRETTO 7,Installation,Door will not Open
506011234,ITA_071 : DISTRETTO 6,Installation,Accessories / components / parts - broke
608180187,ITA_043 : DISTRETTO 2,Product Substitution,NO-DISPLAY
151615009507,ITA_017 : DISTRETTO 3,Standard Repair,Too noisy
371018702230,ITA_006 : DISTRETTO 4,Standard Repair,Oven does not heat
611070479,ITA_008 : DISTRETTO 8,Non funz 1°utilizzo,Not assigned
370733701324,ITA_017 : DISTRETTO 3,R+1 Std (Maytag),F2E1 on display
151619003086,ITA_092 : DISTRETTO 5,Standard Repair,Door will not Close
371248702188,ITA_043 : DISTRETTO 2,Installation,Oven door not aligned
999999999,ITA_030 : DISTRETTO 1,Installation,It doesn't cook
603241607,ITA_030 : DISTRETTO 1,Standard Repair,Door will not Close
999999999,ITA_017 : DISTRETTO 3,Standard Repair,Glass rotating plate breaks
371022701385,ITA_043 : DISTRETTO 2,Six Month Spares,Unpleasant smell from the appliance
701100130,ITA_092 : DISTRETTO 5,Installation,Burnt fuse
